"MaterialType","Materials_Details_EN","Notes"
"種実(ナラガシワ:果実)",,"Needs translation"
"種実(ナラガシワ果実)","seed/nuts fruit /achenes etc Asian white oak (Quercus aliena​)",""
"種実（ナラガシワ果実）","seed/nuts fruit /achenes etc, Asian white oak (Quercus aliena​)",""
"種実(ニワトコ属)",,"Needs translation"
"種実(ハンノキ球果)","seed/nuts cones Japanese alder (Alnus japonica)​",""
"種実(ヒシ)","seed/nuts Water caltrop (Trapa natans var. bispinosa)",""
"種実(ヒシ属)","seed/nuts water caltrop (Trapa sp.) Water caltrop (Trapa natans var. bispinosa)",""
"種実(ヒョウタン)",,"Needs translation"
"種実(ヒョウタン果実破片1点）","seed/nuts fruit /achenes etc bottle gourd (Lagenaria siceraria)",""
"種実（ブドウ属種子・炭化植物遺体（0.12g））","carbonized plant seed seed/nuts plant remains grapes (Vitaceae)",""
"種実(ブナ殻斗)","seed/nuts shell beech (Fagaceae)",""
"種実（ヘチマ種子？）","seed seed/nuts, Luffa (Luffa cylindrica)",""
"種実（マツ属）","seed/nuts, pine (Pinus sp.)",""
"種実(マツ球果)","seed/nuts cones pine (Pinus sp.)",""
"種実(マツ科:球果)",,"Needs translation"
"種実(ミズキ核)","seed/nuts dogwood (Cornus controversa)",""
"種実(ムクロジ)",,"Needs translation"
"種実(メロン仲間)","seed/nuts melon (Cucumis melo)",""
"種実(モモ)","seed/nuts peach (Amygdalus persica syn. Prunus)",""
"種実(モモ核)","seed/nuts peach (Amygdalus persica syn. Prunus)",""
"種実（モモ核）","seed/nuts, peach (Amygdalus persica syn. Prunus)",""
"種実（モモ核）生試料","seed/nuts raw sample sample, peach (Amygdalus persica syn. Prunus)",""
"種実(不明)","unknown seed/nuts",""
"種実（不明種子・炭化植物遺体）","unknown carbonized plant seed seed/nuts plant remains",""
"種実(堅果?)生材",,"Needs translation"
"種実（果実）クヌギ－アベマキ","seed/nuts fruit /achenes etc, saw-tooth oak (Quercus acutissima) Asian cork oak (Quercus variabilis)",""
"種実（草本茎・炭化植物遺体（0.51g））","carbonized plant seed/nuts stem plant remains herbaceous plants",""
"種実2点(オニグルミ核)","seed/nuts walnut (Juglans ailanthifolia)",""
"種実果皮",,"Needs translation"
"種実炭化物(チャンチンモドキ)","carbonized seed/nuts material Napali hog plum (Choerospondias axillaris​)",""
"種実炭化物(ブナ科)","carbonized seed/nuts material Fagaceae",""
"種実片(ドングリ類)","seed/nuts oak (Quercus)",""
"種実片(ムギ類)","seed/nuts Cereale (Triticum, Hordeum, Secale, Avena)",""
"種実破片(ヒョウタン類)","seed/nuts bottle gourd (Lagenaria siceraria)",""
"種実遺体","seed/nuts",""
"種実遺体?","seed/nuts",""
"種実遺体(イネ)","seed/nuts rice (Oryza sativa)",""
"種実遺体(エゴノキ)","seed/nuts snowbell tree (Styrax japonica)",""
"種実遺体(オニグルミ)","seed/nuts walnut (Juglans ailanthifolia)",""
"種実遺体(オニグルミ核)","seed/nuts walnut (Juglans ailanthifolia)",""
"種実遺体(オニグルミ核)＋土壌","seed/nuts soil walnut (Juglans ailanthifolia)",""
"種実遺体（カヤツリグサ）","seed/nuts Japanese nutmeg tree​ (Torreya nucifera) Sedges/Cyperus",""
"種実遺体(コナラ属)","seed/nuts oak (Quercus sp.)",""
"種実遺体(タデ属)","seed/nuts knotweed (Polygonum sp.)",""
"種実遺体(トチノキ)","seed/nuts horse chestnut (Aesculus turbinata) Aesculus??",""
"種実遺体(トチノキ果実)","seed/nuts fruit /achenes etc horse chestnut (Aesculus turbinata) Aesculus??",""
"種実遺体(トチノキ種子)","seed seed/nuts horse chestnut (Aesculus turbinata) Aesculus??",""
"種実遺体(トチノキ種皮)","seed/nuts seed coat horse chestnut (Aesculus turbinata) Aesculus??",""
"種実遺体(ヒシ)","seed/nuts Water caltrop (Trapa natans var. bispinosa)",""
"種実遺体(ヒョウタン類果実)","seed/nuts fruit /achenes etc bottle gourd (Lagenaria siceraria)",""
"種実遺体(ブドウ種子)","seed seed/nuts grapes (Vitaceae)",""
"種実遺体(ホオノキ種子)","seed seed/nuts big-leaf magloia (Magnolia obovata)",""
"種実遺体(ホタルイ属及びタデ属)","seed/nuts knotweed (Polygonum sp.) club-rush (Scirpus / Bolboschoenus / Schoenoplectus sp.) bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides)",""
"種実遺体(ムクロジ)","seed/nuts soapberry (Sapindaceae)",""
"種実遺体(モモ)",,"Needs translation"
"種実遺体(モモ核)","seed/nuts peach (Amygdalus persica syn. Prunus)",""
"種実遺体(ヤブツバキ)","seed/nuts wild camellia (Camellia japonica)",""
"種実遺体オニグルミ","seed/nuts walnut (Juglans ailanthifolia)",""
"種実類(針葉樹)","seed/nuts Coniferae",""
"穀類(コメの塊)","rice (Oryza sativa)",""
"立木","upright post/trunk, wood indet.",""
"立木（ヤマグワ）","upright post/trunk, Chinese mulberry (Morus australis syn bombycis) ",""
"立木（広葉樹）","upright post/trunk, hardwoods",""
"立木の根","tree stump?, wood indet.",""
"竹","bamboo",""
"竹材","material bamboo",""
"竹材（マダケ）","material bamboo Japanese timber bamboo (Phyllostachys bambsoides)",""
"竹笹類","bamboo bamboo",""
"竹笹類?","bamboo bamboo",""
"第5号トチ塚 S10","Aesculus??",""
"笹類","bamboo",""
"米","rice (Oryza sativa)",""
"粒状炭化物","carbonized grain material",""
"粘土","clay",""
"粘土質シルト","clay silt",""
"粘土質泥炭",,"Needs translation"
"素材束","material",""
"細砂混じりシルト","silt sand",""
"絶滅大型シカ脛骨","deer (Cervidae) tibia",""
"続縄文時代の焼土","Jomon burnt soil",""
"続縄文時代の焼土フローテーションサンプル","Jomon burnt soil flotation sample",""
"緑青","patina",""
"緑青錆","patina",""
"編み物",,"Needs translation"
"編物","woven textile",""
"編物(AM2250)","woven textile",""
"編物(ヒゴ材)","material woven textile",""
"編物(ヒノキ科)","woven textile hinoki cypress (Chamaecyparis obtusa)",""
"編物①","woven textile",""
"編物②","woven textile",""
"編物②(ムクロジ)","woven textile soapberry (Sapindaceae)",""
"編物タテ材(アスナロ)",,"Needs translation"
"編物タテ材(スギ)",,"Needs translation"
"編物タテ材(マタタビ属)",,"Needs translation"
"編物ヨコ材(アスナロ)",,"Needs translation"
"編物ヨコ材(スギ)",,"Needs translation"
"編物ヨコ材(スギ根材)",,"Needs translation"
"編物一括","woven textile",""
"編組製品(アカガシ亜属)","Japanese evergreen oak (Quercus acuta)",""
"縄","rope",""
"縄(リョウメンシダ)","upside-down fern (Arachniodes standishii)​",""
"縄文晩期末緑ヶ丘式期土器付着物・内面（おこげ）","from pottery Jomon interior residue okage",""
"肋骨","rib",""
"肋骨の破片（ゼラチンコラーゲン）","rib fragments (gelatin collagen), human bone",""
"肩甲骨","scapula",""
"脛骨","tibia",""
"腐植","humus","Multiple translations"
"腐植","humus, soil","Multiple translations"
"腐植化した植物遺体","plant plant remains humus",""
"腐植土","humus","Multiple translations"
"腐植土","humus, soil","Multiple translations"
"腐植土壌","soil humus",""
"腐植層","humus",""
"腐植材","material humus",""
"腐植混じり土壌","soil humus",""
"腐植物","plant humus","Multiple translations"
"腐植物","humus, indet.plant remains","Multiple translations"
"腐植物片","plant fragments humus",""
"腐植質シルト","humus silt",""
"腐植質シルト質粘土","humus clay silt",""
"腐植質の砂層","humus sand, soil",""
"腐植質土","humus",""
"腐植質土壌","soil humus",""
"腐植質堆積物","humus sediment","Multiple translations"
"腐植質堆積物","humus sediment, soil","Multiple translations"
"腐植質泥","humus","Multiple translations"
"腐植質泥","humus, soil","Multiple translations"
"腐植質砂","humus sand",""
"腐植質砂層","humus sand",""
"腐植質砂質シルト","humus silt sand",""
"腐植質粘土","humus clay",""
"腐植酸","humus",""
"腐植酸を抽出分離した残渣","humus sample",""
"腐食した黒色土","black soil",""
"腐食土","humus soil?",""
"腐食土壌","soil",""
"腐食質土壌","soil humic",""
"腐食質砂層","sand humic",""
"腐食質粘土",,"Needs translation"
"腓骨","fibula",""
"腹足綱貝類の螺軸",,"Needs translation"
"自然木","natural wood",""
"自然木？","natural wood, wood indet.",""
"自然木（ケヤキ）","natural wood, Japanese zelkova (Zelkowa serrata)",""
"自然木(コナラ節)","natural wood Jolcham oak (Quercus serrata)",""
"自然木(サクラ属)","natural wood Cherry, plum etc (Cerasus, Prunus etc)",""
"自然木(スダジイ)","natural wood Itajii tree (Castanopis sieboldi)",""
"自然木(トウヒ節)","natural wood ezo spruce (Picea jezoensis)",""
"自然木(トネリコ属)","natural wood Ash (Fraxinus sp.)",""
"自然木(ハンノキ属ハンノキ節)","natural wood alder (Alnus sp.)​ Japanese alder (Alnus japonica)​",""
"自然木（ムクロジ）","natural wood, Indian soapberry (Sapindus mukorossi)",""
"自然木(モミsp)","natural wood fir (Abies sp.)",""
"自然木(モモ)","natural wood peach (Amygdalus persica syn. Prunus)",""
"自然木(ヤナギ)","natural wood willow (Salix sp.)",""
"自然材(コナラ節)","material Jolcham oak (Quercus serrata)",""
"自然材(ハンノキ亜属)","material Japanese alder (Alnus japonica)​",""
"自然流木",,"Needs translation"
"臼歯(ナウマンゾウ)","horse (Equus ferus) molar tooth",""
"芯持生木(エノキ属?)",,"Needs translation"
"若年枝（クヌギ節）","branch, saw-tooth oak (Quercus acutissima)",""
"若木","sapwood, wood indet.",""
"草","grass",""
"草木(葉)","vegetation",""
"草木泥炭","peat vegetation",""
"草本","herbaceous plants",""
"草本植物片","plant fragments herbaceous plants",""
"草本植物遺体","plant plant remains herbaceous plants",""
"草本泥炭","peat herbaceous plants",""
"草本炭化物","carbonized material herbaceous plants",""
"草本炭化物(単子葉類)","carbonized material monocotyledonous herbaceous plants",""
"草本炭化物(草本生単子葉類)","carbonized material monocotyledonous herbaceous plants",""
"草本由来の炭化物","carbonized material, herbaceous plants",""
"草本質泥炭","peat herbaceous plants",""
"草本質炭化物","carbonized material herbaceous plants",""
"草本遺体","herbaceous plants",""
"草本類","herbaceous plants",""
"草本類(イネ科)",,"Needs translation"
"草本類生材",,"Needs translation"
"草本類稈","culm herbaceous plants",""
"葉","leaf or deciduous wood?","Multiple translations"
"葉","leaves, indet.plant remains","Multiple translations"
"葉、炭化種実破片","carbonized seed/nuts fragments leaves, indet. seed",""
"葉(ヤブニッケイ)",,"Needs translation"
"葉片",,"Needs translation"
"薄手土器",,"Needs translation"
"薄板(針葉樹の樹皮)",,"Needs translation"
"藍胎（草本遺体）","??, herbaceous plants",""
"虫","insect",""
"虫体(イネノクロカメムシ)","insect rice beetle (Scotinophara lurida)",""
"褐灰色粘土","clay",""
"象の臼歯","elephant (Elephantidae spp. Palaeoloxodon?) molar tooth",""
"貝","indet. shellfish",""
"貝,","indet. shellfish",""
"貝,アサリ,","Asari (Ruditapes philippinarum)",""
"貝,アラスジケマンガイ,","tumid venus (Gafrarium tumidum)",""
"貝,ウバガイ,","Sakhalin surf clam (Pseudocardium sachalinense)",""
"貝,オオノガイ？,","soft shell clam (Mya arenaria syn. oonogai)",""
"貝,カガミガイ,R","venus clam (Dosinia japonica)",""
"貝,カキ,","oysters (Ostreidae)",""
"貝,カラスガイ,","turban-shell (Lunella correensis)",""
"貝,カワニナ,","kawanina (Semisulcospira libertina)",""
"貝,サラガイ,","saragai tellin (Megangulus venulosus)",""
"貝,サルボウ,","ark clam (Anadara kagoshimensis)",""
"貝,シオフキ,R","shiofukigai trough shell (Mactra veneriformis)",""
"貝,シジミ,","basket clam (Corbiculidae spp.)",""
"貝,シャコガイ,","giant clam (Tridacninae)",""
"貝,セタシジミ,","basket clam (Corbiculidae spp.)",""
"貝,セタシジミ,中身","basket clam (Corbiculidae spp.)",""
"貝,セタシジミ,貝殻","basket clam (Corbiculidae spp.)",""
"貝,チョウセンサザエ,","silver-mouth turban shell (Turbo (syn. Marmarostoma) argyrostomus)",""
"貝,ナガタニシ,","mud snail (Heterogen longispira)",""
"貝,ハイガイ,","igai mussel (Mytilus coruscus)​",""
"貝,ハマグリ,R","asian hard clam (Meretrix lusoria)​",""
"貝,ホタテガイ,破片","Japanese scallop (Mizuhopecten (syn. Patinopecten) yessoensis)",""
"貝,マガキ,","Pacific oyster (Crassostrea gigas)​",""
"貝,マガキガイ,","Pacific oyster (Crassostrea gigas)​",""
"貝,マシジミ,","basket clam (Corbiculidae spp.)",""
"貝,ヤマトカワニナ,","kawanina (Semisulcospira libertina)",""
"貝,ヤマトシジミ,","basket clam (Corbicula japonica) basket clam (Corbiculidae spp.)",""
"貝,陸産貝類,","land snails",""
"貝？","indet. shellfish",""
"貝(アカニシ)","veined rapa whelk (Rapana venosa)​",""
"貝(アサリ)","manila clam (Ruditapes philippinarum)",""
"貝(アサリ）","manila clam (Ruditapes philippinarum)",""
"貝(アマオブネ)",,"Needs translation"
"貝(アワビ)","abalone shell (Haliotis sp.)",""
"貝(イガイ)","igai mussel (Mytilus coruscus)​",""
"貝(イシダタミガイ)","toothed top shell (Monodonta labio)​",""
"貝(イシマキガイ)",,"Needs translation"
"貝(イタボガキ)",,"Needs translation"
"貝(イボキサゴ)","Ibokisago button top shell (Umbonium moniliferum) top-shell (Umbonium costatum)",""
"貝(イモガイ:海産)",,"Needs translation"
"貝(イモガイ)",,"Needs translation"
"貝(イワガキ)","rock-oyster (Crossostrea nippona)",""
"貝(ウメノハナガイ)","umenohanagai shell (Pillucina pisidium)",""
"貝(ウラツキガイ)",,"Needs translation"
"貝(オオシラナミ)",,"Needs translation"
"貝(オオツタノハ)",,"Needs translation"
"貝(オオノガイ)","soft shell clam (Mya arenaria syn. oonogai)",""
"貝(オキアサリ)",,"Needs translation"
"貝(オキシジミ)","black clam (Cyclina sinensis) basket clam (Corbiculidae spp.)",""
"貝(カガミガイ)","venus clam (Dosinia japonica)",""
"貝(カキ)","oysters (Ostreidae)",""
"貝(カシパン)","sand dollar (sea urchin) (Astriclypeus manni)",""
"貝(カタツムリ:陸産貝)",,"Needs translation"
"貝(カワアイ)",,"Needs translation"
"貝(カワシンジュガイ)",,"Needs translation"
